Jugador,Nacionalidad,Club,Pais_Club
Bremer,Brasil,Juventus,Italia
Danilo,Brasil,Flamengo,Brasil
Douglas Santos,Brasil,Zenit,Rusia
Gabriel Magalhães,Brasil,Arsenal,Inglaterra
Roger Ibañez,Brasil,Al Ahli,Arabia Saudita
Léo Pereira,Brasil,Flamengo,Brasil
Marquinhos,Brasil,Paris Saint-Germain,Francia
Wesley,Brasil,Roma,Italia
Bruno Guimarães,Brasil,Newcastle United,Inglaterra
Casemiro,Brasil,Manchester United,Inglaterra
Danilo Santos,Brasil,Botafogo,Brasil
Fabinho,Brasil,Al Ittihad,Arabia Saudita
Lucas Paquetá,Brasil,Flamengo,Brasil
Endrick,Brasil,Lyon,Francia
Gabriel Martinelli,Brasil,Arsenal,Inglaterra
Igor Thiago,Brasil,Brentford,Inglaterra
Luiz Henrique,Brasil,Zenit,Rusia
Matheus Cunha,Brasil,Manchester United,Inglaterra
Neymar Junior,Brasil,Santos,Brasil
Raphinha,Brasil,Barcelona,España
Rayan,Brasil,Bournemouth,Inglaterra
Vinicius Junior,Brasil,Real Madrid,España
Yassine Bounou,Marruecos,Al-Hilal,Arabia Saudita
Munir El Kajoui,Marruecos,RS Berkane,Marruecos
Ahmed Reda Tagnaouti,Marruecos,ASFAR,Marruecos
Achraf Hakimi,Marruecos,Paris Saint-Germain,Francia
Noussair Mazraoui,Marruecos,Manchester United,Inglaterra
Nayef Aguerd,Marruecos,Marseille,Francia
Zakaria El Ouahdi,Marruecos,Genk,Bélgica
Issa Diop,Marruecos,Fulham,Inglaterra
Chadi Riad,Marruecos,Crystal Palace,Inglaterra
Youssef Belammari,Marruecos,Al Ahly,Egipto
Redouane Halhal,Marruecos,KV Mechelen,Bélgica
Anass Salah Eddine,Marruecos,PSV Eindhoven,Países Bajos
Sofyan Amrabat,Marruecos,Real Betis,España
Ayyoub Bouaddi,Marruecos,Lille,Francia
Chemsdine Talbi,Marruecos,Sunderland,Inglaterra
Azzedine Ounahi,Marruecos,Girona,España
Ismael Saibari,Marruecos,PSV Eindhoven,Países Bajos
Samir El Mourabet,Marruecos,Strasbourg,Francia
Yassine Gessime,Marruecos,Strasbourg,Francia
Bilal El Khannouss,Marruecos,VfB Stuttgart,Alemania
Neil El Aynaoui,Marruecos,Roma,Italia
Soufiane Rahimi,Marruecos,Al-Ain,Emiratos Árabes Unidos
Brahim Diaz,Marruecos,Real Madrid,España
Abde Ezzalzouli,Marruecos,Real Betis,España
