Jugador,Nacionalidad,Club,Pais_Club
Orkun Kökçü,Turquía,Beşiktaş,Turquía
Hakan Çalhanoğlu,Turquía,Inter de Milán,Italia
İsmail Yüksek,Turquía,Fenerbahçe,Turquía
Kaan Ayhan,Turquía,Galatasaray,Turquía
Salih Özcan,Turquía,Borussia Dortmund,Alemania
Kenan Yıldız,Turquía,Juventus,Italia
Barış Alper Yılmaz,Turquía,Galatasaray,Turquía
Kerem Aktürkoğlu,Turquía,Fenerbahçe,Turquía
Yunus Akgün,Turquía,Galatasaray,Turquía
Oğuz Aydın,Turquía,Fenerbahçe,Turquía
Deniz Gül,Turquía,Porto,Portugal
İrfan Can Kahveci,Turquía,Fenerbahçe,Turquía
Ørjan Nyland,Noruega,Sevilla,España
Egil Selvik,Noruega,Watford,Inglaterra
Sander Tangvik,Noruega,HSV,Alemania
Kristoffer Ajer,Noruega,Brentford,Inglaterra
Fredrik Bjørkan,Noruega,Bodø/Glimt,Noruega
Henrik Falchener,Noruega,Viking,Noruega
Sondre Langås,Noruega,Derby County,Inglaterra
Torbjørn Heggem,Noruega,Bologna,Italia
Marcus Holmgren Pedersen,Noruega,Torino,Italia
Julian Ryerson,Noruega,Borussia Dortmund,Alemania
David Møller Wolfe,Noruega,Wolverhampton Wanderers,Inglaterra
Leo Østigård,Noruega,Genoa,Italia
Thelo Aasgaard,Noruega,Rangers,Escocia
Fredrik Aursnes,Noruega,Benfica,Portugal
Patrick Berg,Noruega,Bodø/Glimt,Noruega
Sander Berge,Noruega,Fulham,Inglaterra
Oscar Bobb,Noruega,Fulham,Inglaterra
Jens Petter Hauge,Noruega,Bodø/Glimt,Noruega
Antonio Nusa,Noruega,RB Leipzig,Alemania
Andreas Schjelderup,Noruega,Benfica,Portugal
Morten Thorsby,Noruega,Cremonese,Italia
Kristian Thorstvedt,Noruega,Sassuolo,Italia
Martin Ødegaard,Noruega,Arsenal,Inglaterra
Erling Haaland,Noruega,Manchester City,Inglaterra
Jørgen Strand Larsen,Noruega,Crystal Palace,Inglaterra
Alexander Sørloth,Noruega,Atlético de Madrid,España
Nawaf Al Aqidi,Arabia Saudita,Al Nassr,Arabia Saudita
Mohamed Al Owais,Arabia Saudita,Al Ula,Arabia Saudita
Ahmed Al Kassar,Arabia Saudita,Al Qadsiah,Arabia Saudita
Abdulelah Al Amri,Arabia Saudita,Al Nassr,Arabia Saudita
Hassan Tambakti,Arabia Saudita,Al Hilal,Arabia Saudita
Jehad Thikri,Arabia Saudita,Al Qadsiah,Arabia Saudita
Ali Lajami,Arabia Saudita,Al Hilal,Arabia Saudita
Hadesh Kadesh,Arabia Saudita,Al Ittihad,Arabia Saudita
Saud Abdulhamid,Arabia Saudita,Lens,Francia
Mohammed Abu Al Shamat,Arabia Saudita,Al Qadsiah,Arabia Saudita
Ali Majrashi,Arabia Saudita,Al Ahli,Arabia Saudita
Moteb Al Harbi,Arabia Saudita,Al Hilal,Arabia Saudita
Nawaf Boushal,Arabia Saudita,Al Nassr,Arabia Saudita
Sultan Al-Ghannam,Arabia Saudita,Al Nassr,Arabia Saudita
Mohammed Kanno,Arabia Saudita,Al Hilal,Arabia Saudita
Abdullah Al Khaibari,Arabia Saudita,Al Nassr,Arabia Saudita
Ziyad Al Johani,Arabia Saudita,Al Ahli,Arabia Saudita
Nasser Al Dawsari,Arabia Saudita,Al Hilal,Arabia Saudita
Musab Al Juwayr,Arabia Saudita,Al Qadsiah,Arabia Saudita
Alaa Al Hajji,Arabia Saudita,NEOM SC,Arabia Saudita
Salem Al Dawsari,Arabia Saudita,Al Hilal,Arabia Saudita
Khalid Al Ghannam,Arabia Saudita,Al Ettifaq,Arabia Saudita
Ayman Yahya,Arabia Saudita,Al Nassr,Arabia Saudita
Feras Al Buraikan,Arabia Saudita,Al Ahli,Arabia Saudita
Saleh Al Shehri,Arabia Saudita,Al Ittihad,Arabia Saudita
Abdullah Al Hamdan,Arabia Saudita,Al Nassr,Arabia Saudita
Ahmed Basil,Irak,Al-Shorta,Irak
Jalal Hassan,Irak,Al-Zawraa,Irak
Fahad Talib,Irak,Al Talaba,Irak
Hussein Ali,Irak,Pogoń Szczecin,Polonia
Merchas Doski,Irak,Viktoria Plzeň,República Checa
Akam Hashem,Irak,Al-Zawraa,Irak
Frans Putros,Irak,Persib Bandung,Indonesia
Mustafa Saadoon,Irak,Al-Shorta,Irak
Rebin Sulaka,Irak,Port FC,Tailandia
Zaid Tahseen,Irak,Pakhtakor,Uzbekistán
Ahmed Yahya,Irak,Al-Shorta,Irak
Manaf Younis,Irak,Al-Shorta,Irak
Amir Al Ammari,Irak,Cracovia,Polonia
Youssef Amyn,Irak,AEK Larnaca,Chipre
Ibrahim Bayesh,Irak,Al-Dhafra,Emiratos Árabes Unidos
Marko Farji,Irak,Venezia,Italia
Zidane Iqbal,Irak,Utrecht,Países Bajos
Zaid Ismail,Irak,Al-Talaba,Irak
Ali Jassim,Irak,Como,Italia
Ahmed Qasim,Irak,Nashville SC,Estados Unidos
Aimar Sher,Irak,Sarpsborg 08,Noruega
Kevin Yakob,Irak,AGF Aarhus,Dinamarca
Mohanad Ali,Irak,Dibba,Emiratos Árabes Unidos
Aymen Hussein,Irak,Al-Karma,Irak
Ali Al Hamadi,Irak,Ipswich Town,Inglaterra
Ali Yousef,Irak,Al-Talaba,Irak
Utkir Yusupov,Uzbekistán,Navbahor,Uzbekistán
Abduvohid Nematov,Uzbekistán,Nasaf,Uzbekistán
Botirali Ergashev,Uzbekistán,Neftchi,Uzbekistán
Abduqodir Husanov,Uzbekistán,Manchester City,Inglaterra
Khojiakbar Alijonov,Uzbekistán,Pakhtakor,Uzbekistán
Farrukh Sayfiev,Uzbekistán,Neftchi,Uzbekistán
Rustamjon Ashurmatov,Uzbekistán,Esteghlal,Irán
Umrbek Eshmurodov,Uzbekistán,Nasaf,Uzbekistán
Sherzod Nasrullaev,Uzbekistán,Pakhtakor,Uzbekistán
Abdulla Abdullaev,Uzbekistán,Dibba,Emiratos Árabes Unidos
Avazbek Ulmasaliev,Uzbekistán,AGMK,Uzbekistán
Jakhongir Urozov,Uzbekistán,Dinamo,Uzbekistán
Behruz Karimov,Uzbekistán,Surkhon,Uzbekistán
Akmal Mozgovoy,Uzbekistán,Pakhtakor,Uzbekistán
Otabek Shukurov,Uzbekistán,Baniyas,Emiratos Árabes Unidos
Jamshid Iskanderov,Uzbekistán,Neftchi,Uzbekistán
Odiljon Khamrobekov,Uzbekistán,Traktor,Irán
Jaloliddin Masharipov,Uzbekistán,Esteghlal,Irán
Oston Urunov,Uzbekistán,Persepolis,Irán
Dostonbek Khamdamov,Uzbekistán,Pakhtakor,Uzbekistán
Azizjon Ganiev,Uzbekistán,Al Bataeh,Emiratos Árabes Unidos
Abbosbek Fayzullaev,Uzbekistán,İstanbul Başakşehir,Turquía
Sherzod Esanov,Uzbekistán,Bukhara,Uzbekistán
Eldor Shomurodov,Uzbekistán,İstanbul Başakşehir,Turquía
Igor Sergeev,Uzbekistán,Persepolis,Irán
Azizbek Amonov,Uzbekistán,Dinamo,Uzbekistán
Yazid Abulaila,Jordania,Al-Hussein,Jordania
Abdallah Al Fakhouri,Jordania,Al-Wehdat,Jordania
Nour Bani Attiah,Jordania,Al-Faisaly,Jordania
Ihsan Haddad,Jordania,Al-Hussein,Jordania
Mohammad Abualnadi,Jordania,Selangor,Malasia
Husam Abu Dahab,Jordania,Al-Samiya,Kuwait
Mohammad Abu Hashish,Jordania,Al-Karma,Jordania
Yazan Al Arab,Jordania,FC Seoul,Corea del Sur
Abdallah Nasib,Jordania,Al-Zawraa,Irak
Saleem Obaid,Jordania,Al-Hussein,Jordania
Saed Al-Rosan,Jordania,Al-Hussein,Jordania
Anas Badawi,Jordania,Al-Faisaly,Jordania
Mohannad Abu Taha,Jordania,Al-Quwa Al-Jawiya,Irak
Mohammad Al Dawoud,Jordania,Al-Wehdat,Jordania
Nizar Al Rashdan,Jordania,Qatar SC,Catar
Noor Al Rawabdeh,Jordania,Selangor,Malasia
Rajaei Ayed,Jordania,Al-Hussein,Jordania
Amer Jamous,Jordania,Al-Zawraa,Irak
Ibrahim Sadeh,Jordania,Al-Karma,Jordania
Mahmoud Al-Mardi,Jordania,Al-Hussein,Jordania
Musa Al Taamari,Jordania,Rennes,Francia
Ali Olwan,Jordania,Al-Sailiya,Catar
Odeh Al-Fakhouri,Jordania,Pyramids,Egipto
Mohammad Abu Zraiq,Jordania,Al-Hussein,Jordania
Ali Azaizeh,Jordania,Al-Shabab,Arabia Saudita
Ibrahim Sabra,Jordania,Lokomotiva Zagreb,Croacia
Josimar Dias (Vozinha),Cabo Verde,Chaves,Portugal
Márcio da Rosa,Cabo Verde,Montana,Bulgaria
Carlos Santos (CJ dos Santos),Cabo Verde,San Diego,Estados Unidos
Steven Moreira,Cabo Verde,Columbus Crew,Estados Unidos
Wagner Pina,Cabo Verde,Trabzonspor,Turquía
João Paulo Fernandes,Cabo Verde,FCSB,Rumania
Sidny Lopes Cabral,Cabo Verde,Benfica,Portugal
Logan Costa,Cabo Verde,Villarreal,España
Roberto Lopes (Pico),Cabo Verde,Shamrock Rovers,Irlanda
Kelvin Pires,Cabo Verde,SJK,Finlandia
Ianique Tavares (Stopira),Cabo Verde,Torreense,Portugal
Edilson Borges (Diney),Cabo Verde,Al Bataeh,Emiratos Árabes Unidos
Jamiro Monteiro,Cabo Verde,PEC Zwolle,Países Bajos
Telmo Arcanjo,Cabo Verde,Vitória de Guimarães,Portugal
Yannick Semedo,Cabo Verde,Farense,Portugal
Laros Duarte,Cabo Verde,Puskás Akadémia,Hungría
Deroy Duarte,Cabo Verde,Ludogorets Razgrad,Bulgaria
Kevin Pina,Cabo Verde,Krasnodar,Rusia
Ryan Mendes,Cabo Verde,Igdir,Turquía
Willy Semedo,Cabo Verde,Omonia Nicosia,Chipre
Garry Rodrigues,Cabo Verde,Apollon Limassol,Chipre
Jovane Cabral,Cabo Verde,Estrela Amadora,Portugal
Nuno da Costa,Cabo Verde,Basaksehir FK,Turquía
Dailon Livramento,Cabo Verde,Casa Pia,Portugal
Gilson Benchimol,Cabo Verde,Akron Tolyatti,Rusia
Hélio Varela,Cabo Verde,Maccabi Tel Aviv,Israel
Dominik Livaković,Croacia,Dinamo Zagreb,Croacia
Dominik Kotarski,Croacia,Copenhagen,Dinamarca
Ivor Pandur,Croacia,Hull City,Inglaterra
Joško Gvardiol,Croacia,Manchester City,Inglaterra
Duje Ćaleta-Car,Croacia,Real Sociedad,España
Josip Šutalo,Croacia,Ajax,Países Bajos
Josip Stanišić,Croacia,Bayern Múnich,Alemania
Marin Pongračić,Croacia,Fiorentina,Italia
Martin Erlić,Croacia,Midtjylland,Dinamarca
Luka Vušković,Croacia,Hamburg,Alemania
Dani Olmo,España,Barcelona,España
Nico Williams,España,Athletic Bilbao,España
Yéremy Pino,España,Crystal Palace,Inglaterra
Ferran Torres,España,Barcelona,España
Borja Iglesias,España,Celta de Vigo,España
Víctor Múñoz,España,Osasuna,España
Craig Gordon,Escocia,Hearts,Escocia
Angus Gunn,Escocia,Nottingham Forest,Inglaterra
Liam Kelly,Escocia,Rangers,Escocia
Grant Hanley,Escocia,Hibernian,Escocia
Jack Hendry,Escocia,Al-Ettifaq,Arabia Saudita
Aaron Hickey,Escocia,Brentford,Inglaterra
Dom Hyam,Escocia,Wrexham,Inglaterra
Scott McKenna,Escocia,Dinamo Zagreb,Croacia
Nathan Patterson,Escocia,Everton,Inglaterra
Anthony Ralston,Escocia,Celtic,Escocia
Andy Robertson,Escocia,Liverpool,Inglaterra
John Souttar,Escocia,Rangers,Escocia
Kieran Tierney,Escocia,Celtic,Escocia
Gonzalo Plata,Ecuador,Flamengo,Brasil
Alan Minda,Ecuador,Cercle Brugge,Bélgica
John Yeboah,Ecuador,Venezia,Italia
Yuito Suzuki,Japón,Freiburg,Alemania
Daizen Maeda,Japón,Celtic,Escocia
Ayase Ueda,Japón,Feyenoord,Países Bajos
Koki Ogawa,Japón,NEC Nijmegen,Países Bajos
Keisuke Goto,Japón,Sint-Truiden,Bélgica
Kento Shiogai,Japón,Wolfsburg,Alemania
Brian Rodríguez,Uruguay,Club América,México
Facundo Pellistri,Uruguay,Panathinaikos,Grecia
Maximiliano Araújo,Uruguay,Sporting CP,Portugal
Chris Wood,Nueva Zelanda,Nottingham Forest,Inglaterra
Kosta Barbarouses,Nueva Zelanda,Western Sydney Wanderers,Australia
Jesse Randall,Nueva Zelanda,Auckland FC,Nueva Zelanda
Ben Waine,Nueva Zelanda,Port Vale,Inglaterra
Paul Wanner,Austria,PSV,Países Bajos
Patrick Wimmer,Austria,VfL Wolfsburg,Alemania
Derrick Luckassen,Ghana,Pafos,Chipre
Alejandro Gamarra,Paraguay,Al-Ain,Emiratos Árabes Unidos
Carl Starfelt,Suecia,Celta de Vigo,España
Daniel Svensson,Suecia,Borussia Dortmund,Alemania
Elliot Stroud,Suecia,Mjällby AIF,Suecia
Herman Johansson,Suecia,FC Dallas,Estados Unidos
Luis Mejía,Panamá,Nacional,Uruguay
César Samudio,Panamá,Marathón,Honduras
César Blackman,Panamá,Slovan Bratislava,Eslovaquia
Jorge Gutiérrez,Panamá,Deportivo La Guaira,Venezuela
Amir Murillo,Panamá,Beşiktaş,Turquía
Fidel Escobar,Panamá,Saprissa,Costa Rica
Andrés Andrade,Panamá,LASK,Austria
Edgardo Fariña,Panamá,Pari Nizhniy Novgorod,Rusia
José Córdoba,Panamá,Norwich City,Inglaterra
Eric Davis,Panamá,Plaza Amador,Panamá
Jiovany Ramos,Panamá,Academia Puerto Cabello,Venezuela
Roderick Miller,Panamá,Turan Tovuz,Azerbaiyán
Aníbal Godoy,Panamá,San Diego FC,Estados Unidos
Carlos Harvey,Panamá,Minnesota United,Estados Unidos
Cristian Martínez,Panamá,Hapoel Ironi Kiryat Shmona,Israel
José Luis Rodríguez,Panamá,Juárez FC,México
César Yanis,Panamá,Cobresal,Chile
Yoel Bárcenas,Panamá,Mazatlán FC,México
Azarías Londoño,Panamá,Universidad Católica,Chile
Adalberto Carrasquilla,Panamá,Pumas UNAM,México
Alberto Quintero,Panamá,Plaza Amador,Panamá
Ismael Díaz,Panamá,Club León,México
Cecilio Waterman,Panamá,Universidad de Concepción,Chile
José Fajardo,Panamá,Universidad Católica,Ecuador
Tomás Rodríguez,Panamá,Saprissa,Costa Rica
